Paikkakunta;Koulu;km;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2024-2025;2025-2026;yhteensä;km/suunta;yhteensä;paikkaa;25.4.2026;;;;;;;;;;;;
Akaa;Akaa areena;8;;;;;;;1;;1;2;4;32;64;3;;;;;;;;;;;;;
Akaa;Pappilan koulu;1;;1;1;;;;;;;;2;2;4;;;;;;;;;;;;;;
Akaa;Viialan palloiluhalli;8;1;3;1;;;;;;;;5;40;80;,;;;;;;;;;;;;;
Alahärmä;Härmä areena;282;;;;;;;1;;;1;2;564;1128;1;;;;;;;;;;;;;
Forssa;Riihivalkaman koulu;74;;;;;;;;;;1;1;74;148;1;;;;;;;;;;;;;
Helsinki;Lehto areena;139;;;;;;;;1;;3;4;556;1112;4;;;;;;;;;;;;;
Helsinki;Malmin peruskoulu;141;;;;;;1;;;;;1;141;282;;;;;;;;;;;;;;
Helsinki;Suutarinkylän peruskoulu;138;;;;;;;;;;1;1;138;276;;;;;;;;;;;;;;
Helsinki;Viikin normaalikoulu;146;;;;;;;;;1;;1;146;292;;;;;;;;;;;;;;
Hämeenlinna;Loimua areena;33;;;;;;;;1;;;1;33;66;5;;;;;;;;;;;;;
Hämeenlinna;Nummen yhtenäiskoulu;46;;;;1;;;;;;;1;46;92;;;;;;;;;;;;;;
Hämeenlinna;Ojoisten lastentalo;42;;;;;;;;1;;10;11;462;924;;;;;;;;;;;;;;
Hämeenlinna;Rengon koulu;60;;;;1;;;;;;;1;60;120;;;;;;;;;;;;;;
Hämeenlinna;Seminaarin koulu;43;;;1;;;;;;;;1;43;86;;;;;;;;;;;;;;
Isojoki;Isojoen monitoimitalo;182;;;;;;;;;;1;1;182;364;1;;;;;;;;;;;;;
Jyväskylä;Gradia Viitaniemi;185;;;;;;;;;;1;1;185;370;2;;;;;;;;;;;;;
Jyväskylä;Tikkakosken liikuntahalli;208;;;;;;;1;;1;;2;416;832;;;;;;;;;;;;;;
Järvenpää;Järvenpään yhteiskoulu;118;;;;;;;;;;1;1;118;236;1;;;;;;;;;;;;;
Kangasala;Kangasalan lukio;55;;1;1;;;;;;;;2;110;220;5;;;;;;;;;;;;;
Kangasala;Malm areena;54;;;;1;;;;;;;1;54;108;;;;;;;;;;;;;;
Kangasala;Pikkolan urheilutalo;55;;1;;;;;;;;;1;55;110;;;;;;;;;;;;;;
Kangasala;Pitkäjärven koulu;46;;;;;;;1;;;;1;46;92;;;;;;;;;;;;;;
Kangasala;Vatialan koulu;47;;;;;1;2;;1;;;4;188;376;;;;;;;;;;;;;;
Kiuruvesi;Kiuruveden liikuntahalli;400;;;;;;;;;1;;1;400;800;1;;;;;;;;;;;;;
Kokkola;Hakalahden koulu;363;;;;;;;;1;;;1;363;726;1;;;;;;;;;;;;;
Koski Tl;Kosken liikuntahalli;93;;;;;;;;;;1;1;93;186;1;;;;;;;;;;;;;
Kouvola;Korian monitoimitalo;174;;;;;;;;;;1;1;174;348;1;;;;;;;;;;;;;
Kuortane;Kuortaneen urheiluopisto;209;;;;;;;;;1;;1;209;418;1;;;;;;;;;;;;;
Laihia;Laihian monitoimitalo;258;;;;;;1;;;;;1;258;516;1;;;;;;;;;;;;;
Lempäälä;Hakkarin liikuntahalli;25;;;;;;;1;1;;;2;50;100;6;;;;;;;;;;;;;
Lempäälä;Kanavan koulu;19;;;;;;;;;;1;1;19;38;;;;;;;;;;;;;;
Lempäälä;Kuljun liikuntahalli;27;;;;1;;1;2;;;;4;108;216;;;;;;;;;;;;;;
Lempäälä;Lempäälä Areena;27;;;;;;;;1;;7;8;216;432;;;;;;;;;;;;;;
Lempäälä;Lempoisten liikuntahalli;27;;;1;2;1;1;;1;1;;7;189;378;;;;;;;;;;;;;;
Lempäälä;Sääksjärven koulu;31;;;;;;1;;3;2;2;8;248;496;;;;;;;;;;;;;;
Loimaa;Alastaro halli;79;;;;;;1;;1;1;;3;237;474;3;;;;;;;;;;;;;
Loimaa;HIrvihovi;70;;;;;;2;;;;;2;140;280;;;;;;;;;;;;;;
Loimaa;Loimaan liikuntahalli;66;;;;;;;1;1;1;;3;198;396;;;;;;;;;;;;;;
Liperi;Jyrin liikuntahalli;420;;;;;;;;1;;;1;420;840;1;;;;;;;;;;;;;
Masku;Kurittulan koulu;141;;;;;;;;1;;;1;141;282;1;;;;;;;;;;;;;
Orivesi;Oriveden liikuntahalli;80;;1;1;2;;3;1;1;;;9;720;1440;1;;;;;;;;;;;;;
Oulunsalo;Niemenrannan koulu;522;;;;;;;;;;2;2;1044;2088;1;;;;;;;;;;;;;
Pirkkala;Nuolialan koulu;34;;;;1;;2;;2;1;;6;204;408;2;;;;;;;;;;;;;
Pirkkala;Suupanniityn koulu;45;;;1;;;;;;;;1;45;90;;;;;;;;;;;;;;
Raisio;Kerttulan liikuntahalli;132;;;;;1;;;;;;1;132;264;3;;;;;;;;;;;;;
Raisio;Raision ammattikoulu;131;;;1;;;;;;;;1;131;262;;;;;;;;;;;;;;
Raisio;Raision ammattiopisto;131;1;;;;;;;1;;;2;262;524;;;;;;;;;;;;;;
Rauma;Lapin liikuntahalli;136;;;;;;;2;1;;;3;408;816;1;;;;;;;;;;;;;
Salo;Halikon liikuntahalli;133;;;;;1;;;1;;;2;266;532;4;;;;;;;;;;;;;
Salo;Kiskohalli;152;;;;;;;;1;;;1;152;304;;;;;;;;;;;;;;
Salo;Ollikkalan koulu;127;;;;;;1;;;;;1;127;254;;;;;;;;;;;;;;
Salo;Perniön liikuntahalli;153;;;;;;1;;;;;1;153;306;;;;;;;;;;;;;;
Sastamala;Sylvaan koulu;62;;1;;;1;;2;;;1;5;310;620;3;;;;;;;;;;;;;
Sastamala;Vexve areena;65;;;;2;;;;;;;2;130;260;;;;;;;;;;;;;;
Sastamala;Vareliuksen liikuntahalli;62;;;;;;;;1;;;1;62;124;;;;;;;;;;;;;;
Tampere;Linnainmaan koulu;45;;;;;;;1;;;;1;45;90;3;;;;;;;;;;;;;
Tampere;Sorilan koulu;53;1;;;;;;;;;;1;53;106;;;;;;;;;;;;;;
Tampere;Vehmaisten koulu;45;;1;;;;;;;;;1;45;90;;;;;;;;;;;;;;
Valkeakoski;Apian urheilutalo;20;;;;2;;4;4;;1;;11;220;440;3;;;;;;;;;;;;;
Valkeakoski;Valkeakosken ammattioppilaitos;17;;;;;;;;4;2;;6;102;204;;;;;;;;;;;;;;
Valkeakoski;Valkeakosken lukio;17;;;;;;;;;2;;2;34;68;;;;;;;;;;;;;;
Vilppula;Parkkivuoren urheilutalo;124;1;1;1;2;;;;;;;5;620;1240;1;;;;;;;;;;;;;
Ylöjärvi;Metsäkylän koulu;62;;;;1;;;1;;;;2;124;248;3;;;;;;;;;;;;;
Ylöjärvi;Soppeenharjun koulu;59;1;;;;;;;;;;1;59;118;;;;;;;;;;;;;;
Ylöjärvi;Ylöjärven urheilutalo;58;;;;;;1;;;;;1;58;116;;;;;;;;;;;;;;
Ypäjä;Liikuntahalli Pertunkaari;69;;;1;;;;;0;;;1;69;138;1;;;;;;;;;;;;;
Ähtäri;Ähtärin liikuntahalli;188;;;;;;;;;;1;1;188;376;1;;;;;;;;;;;;;
;;;;;;;;;;;;;167;12917;25834;;;;;;;;;;;;;;
yhteensä;;;5;10;10;16;5;22;19;27;16;36;166;;25834;67;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paikkakunta;Koulu;km;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2024-2025;2025-2026;;;;;;;;;;;;;;;;;
Akaa;Akaa areena;16;0;0;0;0;0;0;16;0;16;32;;;64;148;;;;;;;;;;;;;
Akaa;Pappilan koulu;2;0;2;2;0;0;0;0;0;0;0;;;4;;;;;;;;;;;;;;
Akaa;Viialan palloiluhalli;16;16;48;16;0;0;0;0;0;0;0;;;80;;;;;;;;;;;;;;
Alahärmä;Härmä areena;564;0;0;0;0;0;0;564;0;0;564;;;1128;1128;;;;;;;;;;;;;
Forssa;Riihivalkaman koulu;148;0;0;0;0;0;0;0;0;0;148;;;148;148;;;;;;;;;;;;;
Helsinki;Lehto areena;278;0;0;0;0;0;0;0;278;0;834;;;1112;1962;;;;;;;;;;;;;
Helsinki;Malmin peruskoulu;282;0;0;0;0;0;282;0;0;0;0;;;282;;;;;;;;;;;;;;
Helsinki;Suutarinkylän peruskoulu;276;0;0;0;0;0;0;0;0;0;276;;;276;;;;;;;;;;;;;;
Helsinki;Viikin normaalikoulu;292;0;0;0;0;0;0;0;0;292;0;;;292;;;;;;;;;;;;;;
Hämeenlinna;Loimua areena;66;0;0;0;0;0;0;0;66;0;0;;;66;1288;;;;;;;;;;;;;
Hämeenlinna;Nummen yhtenäiskoulu;92;0;0;0;92;0;0;0;0;0;0;;;92;;;;;;;;;;;;;;
Hämeenlinna;Ojoisten lastentalo;84;0;0;0;0;0;0;0;84;0;840;;;924;;;;;;;;;;;;;;
Hämeenlinna;Rengon koulu;120;0;0;0;120;0;0;0;0;0;0;;;120;;;;;;;;;;;;;;
Hämeenlinna;Seminaarin koulu;86;0;0;86;0;0;0;0;0;0;0;;;86;;;;;;;;;;;;;;
Isojoki;Isojoen monitoimihalli;364;0;0;0;0;0;0;0;0;0;364;;;364;364;;;;;;;;;;;;;
Jyväskylä;Tikkakosken liikuntahalli;370;0;0;0;0;0;0;0;0;0;370;;;370;1202;;;;;;;;;;;;;
Jyväskylä;Tikkakosken liikuntahalli;416;0;0;0;0;0;0;416;0;416;0;;;832;;;;;;;;;;;;;;
Järvenpää;Järvenpään yhteiskoulu;236;0;0;0;0;0;0;0;0;0;236;;;236;236;;;;;;;;;;;;;
Kangasala;Kangasalan lukio;110;0;110;110;0;0;0;0;0;0;0;;;220;906;;;;;;;;;;;;;
Kangasala;Malm areena;108;0;0;0;108;0;0;0;0;0;0;;;108;;;;;;;;;;;;;;
Kangasala;Pikkolan urheilutalo;110;0;110;0;0;0;0;0;0;0;0;;;110;;;;;;;;;;;;;;
Kangasala;Pitkäjärven koulu;92;0;0;0;0;0;0;92;0;0;0;;;92;;;;;;;;;;;;;;
Kangasala;Vatialan koulu;94;0;0;0;0;94;188;0;94;0;0;;;376;;;;;;;;;;;;;;
Kiuruvesi;Kiuruveden liikuntahalli;800;0;0;0;0;0;0;0;0;800;0;;;800;800;;;;;;;;;;;;;
Kokkola;Hakalahden koulu;726;0;0;0;0;0;0;0;726;0;0;;;726;726;;;;;;;;;;;;;
Koski TL;Kosken liikuntahalli;186;0;0;0;0;0;0;0;0;0;186;;;186;186;;;;;;;;;;;;;
Kouvola;Korian monitoimitalo;348;0;0;0;0;0;0;0;0;0;348;;;348;348;;;;;;;;;;;;;
Kuortane;Kuortaneen urheiluopisto;418;0;0;0;0;0;0;0;0;418;0;;;418;418;;;;;;;;;;;;;
Laihia;Laihian monitoimitalo;516;0;0;0;0;0;516;0;0;0;0;;;516;516;;;;;;;;;;;;;
Lempäälä;Hakkarin liikuntahalli;50;0;0;0;0;0;0;50;50;0;0;;;100;1660;;;;;;;;;;;;;
Lempäälä;Kanavan koulu;38;0;0;0;0;0;0;0;0;0;38;;;38;;;;;;;;;;;;;;
Lempäälä;Kuljun liikuntahalli;54;0;0;0;54;0;54;108;0;0;0;;;216;;;;;;;;;;;;;;
Lempäälä;Lempäälä Areena;54;0;0;0;0;0;0;0;54;0;378;;;432;;;;;;;;;;;;;;
Lempäälä;Lempoisten liikuntahalli;54;0;0;54;108;54;54;0;54;54;0;;;378;;;;;;;;;;;;;;
Lempäälä;Sääksjärven koulu;62;0;0;0;0;0;62;0;186;124;124;;;496;;;;;;;;;;;;;;
Loimaa;Alastaro halli;158;0;0;0;0;0;158;0;158;158;0;;;474;1150;;;;;;;;;;;;;
Loimaa;HIrvihovi;140;0;0;0;0;0;280;0;0;0;0;;;280;;;;;;;;;;;;;;
Loimaa;Loimaan liikuntahalli;132;0;0;0;0;0;0;132;132;132;0;;;396;;;;;;;;;;;;;;
Liperi;Jyrin liikuntahalli;840;0;0;0;0;0;0;0;840;0;0;;;840;840;;;;;;;;;;;;;
Masku;Kurittulan koulu;282;0;0;0;0;0;0;0;282;0;0;;;282;282;;;;;;;;;;;;;
Orivesi;Oriveden liikuntahalli;160;0;160;160;320;0;480;160;160;0;0;;;1440;1440;;;;;;;;;;;;;
Oulunsalo;Niemenrannan koulu;1044;0;0;0;0;0;0;0;0;0;2088;;;2088;2088;;;;;;;;;;;;;
Pirkkala;Nuolialan koulu;68;0;0;0;68;0;136;0;136;68;0;;;408;498;;;;;;;;;;;;;
